# FlashAttention P100 benchmark log — append-only.
# Clocks: app 1189/715, boosts to 1328 MHz under load, no throttle (0x0), 140 W of 175 W cap.
# Unless noted: card 0 (3b:00.0, NUMA node 0), CUDA 12.4.131, driver 580.173.02.
#
# date | phase | kernel | shape (B,H,N,d) or (M,N,K) | causal | time_ms | TFLOPS | %cuBLAS | max_rel_err | occupancy | notes
2026-09-06 | 0 | p100_sweep fp16 | dependent half2 FMA chain | - | - | 15.79 | - | 0 (bitexact) | - | 83% of 19.04 peak; SASS 48xHFMA2/2xF2F; 1328MHz 140W no throttle
2026-09-06 | 0 | p100_sweep fp32 | dependent f32 FMA chain | - | - | 8.68 | - | 0 (bitexact) | - | 91% of 9.52 peak; fp16/fp32 ratio 1.82x -> GATE PASS
2026-09-06 | 0 | p100_sweep mem | 14.07 GB r+w stream | - | - | - | - | 0 (bitexact) | - | 498.8 GB/s achieved, 68% of 732 spec. Break-even C=d*B/2 -> 16.0 TF @d=64
2026-09-06 | 1.1 | cuBLAS Hgemm (f16 acc) | 4096,4096,4096 | - | 9.258 | 14.84 | 100 | 4.9e-4 (f32acc layout chk) | - | 94% of the 15.79 fp16 ceiling. GATE for phase 1 = 7.42 TFLOPS
2026-09-06 | 1.1 | cuBLAS Hgemm (f16 acc) | 8192,8192,8192 | - | 71.464 | 15.39 | - | - | - | 97% of ceiling; cuBLAS is near-perfect on big squares
2026-09-06 | 1.1 | cuBLAS Hgemm (f16 acc) | 2048,2048,2048 | - | 1.408 | 12.21 | - | - | - | -
2026-09-06 | 1.1 | cuBLAS Hgemm QK^T | 4096,4096,64 | - | 0.201 | 10.68 | 72 | - | - | skinny-K: 72% of square
2026-09-06 | 1.1 | cuBLAS Hgemm QK^T | 4096,4096,128 | - | 0.315 | 13.63 | 92 | - | - | d=128 recovers most of the square rate
2026-09-06 | 1.1 | cuBLAS Hgemm PV | 4096,64,4096 | - | 0.376 | 5.72 | 39 | - | - | skinny-N is the weak one. THIS is what fusion buys.
2026-09-06 | 1.1 | cuBLAS Hgemm PV | 4096,128,4096 | - | 0.384 | 11.18 | 75 | - | - | -
2026-09-06 | 1.1 | cuBLAS GemmEx (f32 acc) | 4096,4096,4096 | - | 17.273 | 7.96 | 54 | - | - | fp32 accumulate costs 1.87x on square, 2.35x at 8192. Confirms phase 2 fp16-acc strategy.
2026-09-06 | 1.2 | mine v1 128x128x16 single-buf | 4096,4096,4096 | - | 10.637 | 12.92 | 85.3 | 1.37e-2 | 50% (60 reg, 8KB) | first working half2 SIMT GEMM. Gate was 50%.
2026-09-06 | 1.3 | mine v2 128x128x16 prefetch | 4096,4096,4096 | - | 9.775 | 14.06 | 92.8 | 1.37e-2 | 37.5% (80 reg, 8KB) | +8.8% over v1 DESPITE losing occupancy. Register prefetch is the win, as predicted.
2026-09-06 | 1.3 | mine v3 128x128x32 single-buf | 4096,4096,4096 | - | 10.205 | 13.47 | 88.9 | 1.37e-2 | 37.5% (80 reg, 16KB) | bigger K-step alone ~= half of what prefetch gives
